 1500         0,97297       164,01         
 1505         0,97204       163,86         
 1510         0,97074       163,62         
 1515         0,96889       163,31         
 1520         0,96892       162,96         
 1525         0,96826       162,63         
 1530         0,96714       162,24         
 1535         0,96605       161,83         
 1540         0,96447       161,42         
 1545         0,96455       160,96         
 1550         0,96476       160,63         
 1555         0,96433       160,33         
 1560         0,9637        160,02         
 1565         0,96274       159,73         
 1570         0,96085       159,37         
 1575         0,96039       159,03         
 1580         0,95851       158,68         
 1585         0,95633       158,24         
 1590         0,95445       157,75         
 1595         0,95269       157,23         
 1600         0,95134       156,64         
 1605         0,95027       156,18         
 1610         0,94786       155,65         
 1615         0,94562       155,07         
 1620         0,94347       154,52         
 1625         0,94074       153,94         
 1630         0,93877       153,40         
 1635         0,93464       152,89         
 1640         0,92998       152,23         
 1645         0,92579       151,43         
 1650         0,92148       150,55         
 1655         0,91772       149,59         
 1660         0,91301       148,67         
 1665         0,90632       147,66         
 1670         0,89878       146,49         
 1675         0,89087       145,24         
 1680         0,88259       143,96         
 1685         0,87116       142,51         
 1690         0,85987       141,00         
 1695         0,84345       139,41         
 1700         0,82502       137,62         
 1705         0,8011        135,56         
 1710         0,77304       132,99         
 1715         0,73994       130,02         
 1720         0,70049       126,58         
 1725         0,65052       122,94         
 1730         0,58706       118,97         
 1735         0,50886       114,45         
 1740         0,41413       109,49         
 1745         0,30561       104,73         
 1750         0,18631       104,16         
 1755         0,07346       134,23         
 1760         0,12652       -142,79        
 1765         0,26417       -134,29        
 1770         0,39203       -135,68        
 1775         0,49607       -139,41        
 1780         0,57113       -143,97        
 1785         0,61792       -149,14        
 1790         0,65482       -154,10        
 1795         0,707         -157,92        
 1800         0,77399       -161,82        
 1805         0,83431       -164,95        
 1810         0,88013       -166,46        
 1815         0,91055       -167,08        
 1820         0,92884       -168,59        
 1825         0,92312       -171,00        
 1830         0,91071       -173,56        
 1835         0,90749       -175,87        
 1840         0,91838       -177,68        
 1845         0,93727       -178,95        
 1850         0,94974       -179,86        
 1855         0,95293       179,52         
 1860         0,94764       178,80         
 1865         0,94283       177,90         
 1870         0,94141       176,94         
 1875         0,94704       175,81         
 1880         0,95403       175,06         
 1885         0,9574        174,38         
 1890         0,95818       173,91         
 1895         0,95671       173,46         
 1900         0,95512       173,00         
 1905         0,95658       172,36         
 1910         0,95953       171,82         
 1915         0,96184       171,29         
 1920         0,96503       170,84         
 1925         0,96355       170,55         
 1930         0,96263       170,13         
 1935         0,96158       169,71         
 1940         0,96069       169,18         
 1945         0,96297       168,64         
 1950         0,96432       168,29         
 1955         0,96399       168,08         
 1960         0,96244       167,86         
 1965         0,95996       167,69         
 1970         0,9582        167,30         
 1975         0,96022       166,90         
 1980         0,96046       166,59         
 1985         0,96134       166,20         
 1990         0,96132       165,94         
 1995         0,95963       165,55         
 2000         0,95964       165,05         
 2005         0,96074       164,62         
 2010         0,96098       164,30         
 2015         0,96146       163,99         
 2020         0,96038       163,91         
 2025         0,95716       163,72         
 2030         0,9567        163,57         
 2035         0,955         163,47         
 2040         0,95389       163,24         
 2045         0,95281       163,02         
 2050         0,95118       162,70         
 2055         0,94899       162,23         
 2060         0,94803       161,70         
 2065         0,94626       161,22         
 2070         0,94341       160,57         
 2075         0,9411        160,01         
 2080         0,93573       159,36         
 2085         0,93213       158,74         
 2090         0,92416       158,33         
 2095         0,91144       158,04         
 2100         0,89021       157,99         
 2105         0,86152       159,03         
 2110         0,84538       161,44         
 2115         0,86441       163,81         
 2120         0,89499       164,57         
 2125         0,9149        164,05         
 2130         0,92643       163,36         
 2135         0,93143       162,44         
 2140         0,93655       161,51         
 2145         0,94114       160,79         
 2150         0,94436       160,32         
 2155         0,94635       159,96         
 2160         0,94733       159,76         
 2165         0,9476        159,53         
 2170         0,94962       159,26         
 2175         0,95121       159,23         
 2180         0,95014       159,10         
 2185         0,94869       158,98         
 2190         0,94477       158,69         
 2195         0,94254       158,21         
 2200         0,94214       157,66         
 2205         0,94236       157,22         
 2210         0,94173       156,77         
 2215         0,94167       156,41         
 2220         0,94147       156,12         
 2225         0,94241       155,76         
 2230         0,94531       155,69         
 2235         0,94587       155,67         
 2240         0,94631       155,67         
 2245         0,94503       155,66         
 2250         0,94306       155,51         
 2255         0,94198       155,26         
 2260         0,94116       155,04         
 2265         0,93788       154,73         
 2270         0,93516       154,31         
 2275         0,93281       153,86         
 2280         0,93107       153,33         
 2285         0,93214       152,91         
 2290         0,93253       152,63         
 2295         0,93296       152,39         
 2300         0,93375       152,22         
 2305         0,93428       152,06         
 2310         0,93499       151,83         
 2315         0,93594       151,72         
 2320         0,9347        151,59         
 2325         0,93218       151,36         
 2330         0,92883       151,04         
 2335         0,92494       150,61         
 2340         0,92284       150,12         
 2345         0,92033       149,65         
 2350         0,91807       149,25         
 2355         0,91644       148,83         
 2360         0,91527       148,47         
 2365         0,91573       148,10         
 2370         0,91698       147,80         
 2375         0,9181        147,54         
 2380         0,91825       147,29         
 2385         0,91781       147,03         
 2390         0,9164        146,68         
 2395         0,91486       146,26         
 2400         0,91231       145,86         
 2405         0,90936       145,43         
 2410         0,90613       145,00         
 2415         0,90225       144,60         
 2420         0,8989        144,15         
 2425         0,89704       143,73         
 2430         0,89395       143,29         
 2435         0,8919        142,82         
 2440         0,89005       142,30         
 2445         0,88751       141,70         
 2450         0,88598       141,03         
 2455         0,88328       140,39         
 2460         0,87958       139,67         
 2465         0,8761        138,97         
 2470         0,87218       138,33         
 2475         0,86789       137,74         
 2480         0,86358       137,26         
 2485         0,85817       136,79         
 2490         0,85219       136,29         
 2495         0,847         135,73         
 2500         0,84112       135,09         
